weather_date,storm_day_before,rain_intensity,max_temp_day,max_rain_day,heat_intensity,average_temp_day,average_rain_day
2018-02-05,1,no_rain,26.8,0.0,mild,22.48,0.0
2021-12-05,1,heavy,26.2,14.6,mild,22.96,1.09
2018-12-05,1,no_rain,31.4,0.0,warm,22.71,0.0
2017-12-05,1,no_rain,27.7,0.0,warm,23.5,0.0
2016-12-05,1,no_rain,28.6,0.0,warm,21.14,0.0
2021-11-05,1,weak,26.1,2.0,mild,23.15,0.21
2019-11-05,1,moderate,24.1,3.2,mild,22.57,0.32
2018-11-05,1,no_rain,23.3,0.4,mild,20.5,0.02
2021-10-05,1,no_rain,19.5,0.0,cold,17.53,0.0
2019-10-05,1,no_rain,27.2,0.2,warm,21.78,0.01
2018-10-05,1,no_rain,21.4,0.0,cold,18.6,0.0
2017-10-05,1,no_rain,24.4,0.2,mild,18.7,0.01
2019-09-04,1,no_rain,17.3,0.2,cold,15.32,0.02
2017-09-04,1,no_rain,25.6,0.0,mild,20.59,0.0
2021-08-04,1,no_rain,19.3,0.0,cold,15.63,0.0
2017-08-04,1,no_rain,21.6,0.0,cold,16.75,0.0
2019-07-04,1,no_rain,18.2,0.2,cold,13.64,0.01
2017-07-04,1,no_rain,20.6,0.8,cold,15.38,0.1
2020-06-04,1,no_rain,19.1,0.2,cold,16.58,0.03
2019-06-04,1,no_rain,21.9,0.0,cold,16.07,0.0
2018-06-04,1,no_rain,16.3,0.2,cold,12.8,0.01
2021-05-04,1,no_rain,27.5,0.0,warm,22.85,0.0
2018-05-04,1,no_rain,30.1,0.0,warm,23.67,0.0
2017-05-04,1,no_rain,24.4,0.2,mild,20.02,0.02
2019-04-04,1,no_rain,29.5,0.0,warm,24.9,0.0
2018-04-04,1,weak,27.5,1.6,warm,23.03,0.08
2017-04-04,1,weak,27.5,2.4,warm,22.84,0.14
2018-12-04,1,no_rain,30.5,1.0,warm,21.88,0.07
2017-12-04,1,no_rain,27.3,0.4,warm,23.75,0.04
2020-11-04,1,no_rain,23.9,0.2,heavy_cold,20.06,0.01
2019-11-04,1,no_rain,24.5,0.6,mild,22.12,0.05
2019-10-04,1,no_rain,23.9,0.8,mild,20.26,0.05
2018-10-04,1,heavy,22.3,15.0,mild,18.83,1.12
2017-10-04,1,no_rain,26.3,0.0,mild,18.27,0.0
2021-08-31,1,no_rain,22.3,0.2,mild,19.41,0.01
